,"Índice de producción industrial, INE (base 2009=100)","Índice de producción industrial, INE (base 2014=100)",Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),Índice de producción industrial SOFOFA (base 2000=100),"Índice producción industrial, SOFOFA (2003=100)","Índice producción industrial, SOFOFA (2014=100)",Índice de ventas industriales SOFOFA (base 2014=100),Índice de ventas industriales SOFOFA (base 2003=100),Índice de ventas industriales SOFOFA (base 2000=100),MA
2011-01-06,103.338837150268,91.040134283203,,,,,108.030319497125,91.41741943359375,88.89789581298828,106.599910098503,,92.46390921950133
2011-01-07,97.8295515910835,86.1865273437006,,,,,111.049738489777,94.87181091308594,92.37661743164062,110.150549418738,,92.04040754407661
2011-01-08,105.341243126908,92.8042271840911,,,,,114.460301526271,100.42250061035156,95.82427978515625,110.350912820091,,91.99596683418305
2011-01-09,104.854625823662,92.3755238441493,,,,,108.147059189293,95.92976379394531,96.63846588134766,110.70312839846,,92.35787425819102
2011-01-10,109.615306986374,96.5696203163454,,,,,109.34375202486,96.11080932617188,94.57630157470703,110.803495431642,,92.58145830324504
2011-01-11,110.627891146923,97.4616934274005,,,,,115.061496486224,98.29232025146484,99.308349609375,114.919994745031,,92.81499938653191
2011-01-12,117.785468478718,103.767423387198,,,,,116.956884536751,99.8756332397461,103.81000518798828,122.631648066909,,93.25296949587774
2012-01-01,106.59960081916445,93.9128234915252,,,,,112.96068674259992,94.26067352294922,96.60550689697266,113.16578056414944,,93.3482735955019
2012-01-02,102.35908693266322,90.1769874370177,,,,,109.82219441639764,93.82318115234375,90.4343490600586,108.40690783826334,,93.95145200445381
2012-01-03,113.6090453455793,100.088050429753,,,,,127.99561830150039,107.21550750732422,102.15630340576172,122.54369922095981,,94.13123360809657
2012-01-04,108.1870239750106,95.3113220740316,,,,,116.22674634038438,97.70243072509766,95.43524169921875,113.46143509997377,,94.44781328512978
